Taille_cm,Poids_kg
174.96714153011231,115.34274003611444
168.61735698828815,114.3503133294614
176.47688538100692,116.4276931162274
185.23029856408024,123.90572458856671
167.65846625276663,121.43220247105455
167.6586304305082,111.59117290802267
185.79212815507393,128.61056015862533
177.6743472915291,116.04509591945366
165.30525614065047,110.14922920080829
175.42560043585965,123.03449328785291
165.36582307187538,119.02430227238202
165.34270246429742,118.66126579274712
172.41962271566035,111.00984318095647
150.86719755342202,105.56048400867967
152.75082167486968,112.85281271370796
164.37712470759027,114.1774153212351
159.87168879665577,106.57379572750779
173.14247332595275,120.20570269230595
160.91975924478788,108.8398553651972
155.87696298664707,119.11725758595225
184.65648768921554,130.81962677223828
167.74223699513465,118.50449377958843
170.67528204687923,123.60891044494451
155.75251813786542,110.41258991265634
164.55617275474816,117.87746521151175
171.10922589709867,124.38775313020477
158.49006422577696,112.5480223105712
173.75698018345673,116.91470522498412
163.99361310081196,105.2740161044798
167.08306250206724,114.77171049732279
163.98293387770602,117.90943616777926
188.52278184508938,129.56341896812836
169.86502775262065,118.96108781727133
159.42289071044098,109.03380534488724
178.2254491210319,110.3173442597264
157.79156350028978,108.53012808510672
172.08863595004755,115.91816182225165
150.40329876120225,106.11683960659094
156.7181395110157,113.61594456484669
171.96861235869125,127.31425761648526
177.3846657999541,120.4407456191848
171.7136828118997,116.18749831957257
168.8435171761176,114.68347366423245
166.98896304410712,115.76695720438678
155.21478009632574,105.70518224160459
162.8015579160529,113.86169385595407
165.39361229040213,116.68118721233996
180.57122226218917,122.30548033585757
173.43618289568462,120.33399197308198
152.36959844637266,110.73505734761038
173.24083969394795,109.09889445104436
166.14917719583684,117.9514805301036
163.2307799969404,110.09877677031092
176.1167628884087,113.77334748476412
180.30999522495952,115.6172387119568
179.31280119116198,122.85846858838553
161.60782476777362,111.61064650937386
166.90787624148786,106.69870038874248
173.31263431403565,120.38087451727746
179.7554512712236,113.69191241805648
165.2082576215471,115.04282272228724
168.14341023336183,116.8570292333781
158.9366502599397,115.9493780254481
158.0379337591933,120.02549412397124
178.12525822394198,113.33298457127118
183.56240028570824,122.34071084825347
169.27989878419666,114.79427797766742
180.03532897892023,123.18464647031891
173.61636025047633,119.20570596738244
163.54880245394875,111.83422989059385
173.61395605508415,115.92176928173359
185.38036566465968,117.83891027317662
169.64173960890048,121.27809073603777
185.64643655814007,125.83691735916068
143.80254895910255,109.29998802057185
178.21902504375223,118.64658058731092
170.87047068238172,113.60753446359962
167.00992649534132,109.76289158975746
170.91760776535503,118.70751141311307
150.12431085399106,102.35697376165481
167.80328112162488,124.75479184956394
173.57112571511746,111.56879366633565
184.77894044741515,124.51882379739934
164.81729781726352,122.00205755383752
161.91506397106812,115.85722758329969
164.98242956415464,115.1204618663285
179.15402117702075,115.77689129484988
173.28751109659686,111.07053405063006
164.7023979623296,117.96632962763624
175.13267433113356,126.34043965288484
170.9707754934804,114.74259901967532
179.68644990532889,115.16359491931625
162.97946906122647,101.04991392480682
166.72337853402232,110.12169612199735
166.0789184686784,114.16722909841009
155.36485051867882,117.90979893758914
172.96120277064577,121.19820970795544
172.61055272179888,119.20017574834327
170.05113456642462,114.52241224838544
167.65412866624854,112.52852931353206
155.84629257949587,117.15906964831296
165.79354677234642,115.61078875134783
166.5728548347323,104.44478121602442
161.9772273077838,109.5220540490165
168.38714288333992,111.48313413864483
174.04050856814538,115.5869088097781
188.8618590121053,127.80238985687281
171.7457781283184,116.74837574877203
172.57550390722764,117.27464972323412
169.25554084233832,122.73235918567843
150.8122878470096,104.38322408222088
169.73486124550783,125.70168518991527
170.60230209941025,113.41449798787919
194.63242112485287,128.03058048924663
168.07639035218878,114.22835768147112
173.01547342333612,118.47405870800605
169.65288230294757,118.56675701169205
158.31321962380468,113.4101250311565
181.4282281451502,117.87711601221469
177.51933032686773,114.26912525985263
177.91031947043047,132.57550271622227
160.9061254520526,109.9878347554209
184.027943109361,126.30863659257238
155.9814893720772,102.15346366481876
175.8685709380027,117.74279332257784
191.90455625809977,125.72105339623269
160.09463674869312,114.40666188655108
164.33702270397228,100.33938951182783
170.9965136508764,117.77913420828605
164.96524345883802,108.48565227963765
154.49336568933867,111.14374311617702
170.68562974806028,111.62688740243632
159.37696286273896,107.44221980860462
174.73592430635182,117.26302788589199
160.80575765766196,107.10094359793192
185.4993440501754,121.09703258890217
162.16746707663762,107.00848134177035
166.77938483794324,105.88487091858082
178.1351721736967,125.25061274031032
157.69135683566046,104.48086711192757
172.2745993460413,116.63016526767866
183.07142754282427,126.14659780173986
153.92516765438774,106.19160493189428
171.84633858532305,113.20502286466768
172.59882794248423,118.80066301745501
177.8182287177731,125.60787203663367
157.63049289121918,105.0871454756163
156.79543386915725,109.80720608103357
175.21941565616896,110.1862640704394
172.96984673233186,115.87042601113839
172.50492850345876,117.79824124924683
173.46448209496975,113.78589373396106
163.1997527842151,111.15492958377064
172.32253697161005,110.50400779568727
